LANDED_COST_RULE_MATRIX_NZ_ID,LANDED_COST_RULE_MATRIX_NZ_NAM,DESCRIPTION,IS_INACTIVE,PERCENT_OF_COST,PLUS_AMOUNT,SUBSIDIARY_ID,SUBSIDIARY,DATE_CREATED,LAST_MODIFIED_DATE
"8","AUSTRALIA SEA","ES","F","15",,"27","Scholastic New Zealand Limited","2015-06-29 10:34:43","2015-06-29 13:55:36"
"3","CANADA AIR","BA","F","50",,"27","Scholastic New Zealand Limited","2015-06-29 10:34:43","2015-06-29 13:55:43"
"4","CANADA SEA","BS","F","30",,"27","Scholastic New Zealand Limited","2015-06-29 10:34:43","2015-06-29 13:55:50"
"9","CHINA / HONG KONG AIR","FA","F","40",,"27","Scholastic New Zealand Limited","2015-06-29 10:34:43","2015-06-29 13:55:56"
"10","CHINA / HONG KONG SEA","FS","F","10",,"27","Scholastic New Zealand Limited","2015-06-29 10:34:43","2015-06-29 13:56:02"
"15","IRE/UK/CAN","EUC","F","12",,"27","Scholastic New Zealand Limited","2015-06-29 10:34:43","2015-06-29 13:56:07"
"13","MALAYSIA AIR","MA","F","40",,"27","Scholastic New Zealand Limited","2015-06-29 10:34:43","2015-06-29 13:56:13"
"14","MALAYSIA SEA","MS","F","10",,"27","Scholastic New Zealand Limited","2015-06-29 10:34:43","2015-06-29 13:56:28"
"16","NM EX ASIA","NMA","F","2.5",,"27","Scholastic New Zealand Limited","2015-06-29 10:34:43","2015-06-29 13:56:33"
"17","NZ/ASIA","NZA","F","6.5",,"27","Scholastic New Zealand Limited","2015-06-29 10:34:43","2015-06-29 13:56:38"
"11","SINGAPORE AIR","GA","F","45",,"27","Scholastic New Zealand Limited","2015-06-29 10:34:43","2015-06-29 13:56:43"
"12","SINGAPORE SEA","GS","F","10",,"27","Scholastic New Zealand Limited","2015-06-29 10:34:43","2015-06-29 13:56:48"
"5","UNITED KINGDOM AIR","CA","F","30",,"27","Scholastic New Zealand Limited","2015-06-29 10:34:43","2015-06-29 13:57:07"
"6","UNITED KINGDOM SEA","CS","F","15",,"27","Scholastic New Zealand Limited","2015-06-29 10:34:43","2015-06-29 13:57:14"
"1","USA AIR","AA","F","50",,"27","Scholastic New Zealand Limited","2015-06-29 10:34:43","2015-07-20 18:22:45"
"2","USA SEA","AS","F","28",,"27","Scholastic New Zealand Limited","2015-06-29 10:34:43","2015-07-20 18:23:02"
"7","AS2","EA","F","16","6","27","Scholastic New Zealand Limited","2015-06-29 10:34:43","2015-08-19 10:09:50"
